Name,Address,Parish,Postcode,Pad,Latitude,Longitude,
Mourier House,Halkett Place,St Helier,JE2 4GH,Pad 1,49.183754,-2.104754,
COOP Locale Sion,La Grande Route de St Jean,St John,JE3 4FL,Pad 10,49.221126,-2.114217,
COOP Locale Post Office,La Grande Route de St Martin,St Saviour,JE2 7GT,Pad 11,49.210181,-2.061204,
COOP Locale Georgetown,Elizabeth Street,St Saviour,JE2 7GP,Pad 12,49.17917,-2.09458,
COOP Locale Pontac,La Grande Route de la Cote,St Clement,JE2 6FU,Pad 13,49.169641,-2.048909,
St Brelade Parish Hall,La Neuve Route,St Brelade,JE3 8BS,Pad 14,49.187777,-2.169995,
COOP Locale Beaumont,La Route De Beaumont,St Peter,JE3 7BQ,Pad 15,49.197356,-2.159341,
COOP Locale Val Plaisant,Val Plaisant,St Helier,JE24TB,Pad 16,49.191847,-2.102115,
COOP Locale Travel Maker,Don Street,St Helier,JE2 4TR,Pad 17,49.186405,-2.105342,
COOP Locale ,La Rue A Don,Grouville,JE3 9DX,Pad 18,49.188777,-2.040384,
Co-operative Medical Care New Era,Victoria Road,St Clement,JE2 6QG,Pad 19,49.177021,-2.088657,
St John Ambulance HQ,Midvale Road,St Helier,JE2 3YR,Pad 2,49.191794,-2.104242,
Quennevais Playing Fields,La Route Des Quennevais,St Brelade,JE3 8LZ,Pad 20,49.195011,-2.205,
FB Playing Fields,La Grande Route De St Clement,St Clement,JE2 6QN,Pad 21,49.17401,-2.085382,
Grainville School Playing Fields,St Saviours Hill,St Saviour,JE2 7LB,Pad 22,49.197718,-2.088143,
COOP Locale St Brelade,La Route Des Quennevais,St Brelade,JE3 8LL,Pad 23,49.191214,-2.199781,
Jersey Airport (Departures),Lavenue de la Reine Elizabeth,St Peter,JE1 1BY,Pad 24,49.205168,-2.194791,
Islands insurance ,Esplanade,St Helier,JE2 3QB,Pad 25,49.186173,-2.114067,
Ronez Quarry ,La Route Du Nord,St John,JE3 4AR,Pad 26,49.257045,-2.150798,
States of Jersey Ambulance Service,Rouge Bouillon,St Helier,JE2 3ZA,Pad 27,49.190834,-2.109867,
Elizabeth Terminal ,La Route Du Port Elizabeth,St Helier,JE2 3NW,Pad 28,49.179687,-2.116429,
St Saviour Parish Hall,St Saviours Hill,St Saviour,JE2 7LF,Pad 29,49.195033,-2.090574,
St John Ambulance (St Martin),La Grande Route de Saint-Martin,St Martin,JE3 6JR,Pad 3,49.217829,-2.053039,
St Lawrence Parish Hall,La Grande Route De St Laurent,St Lawrence,JE3 1NG,Pad 30,49.215208,-2.141382,
Albert Pier Pontoons,Albert Pier,St Helier,JE2 3NE,Pad 31,49.179938,-2.113384,
Rozel Pier / Harbour phone box,Rozel Pier Wall,Trinity,JE3 5BN,Pad 32,49.237913,-2.044657,
Barette Commercial Centre Mont Mado,Mont Mado,St John,JE3 4DS,Pad 33,49.244619,-2.124343,
Jersey Arts Centre,Phillips Street,St Helier,JE2 4SW,Pad 34,49.186071,-2.101296,
Jersey Rugby Club,La Rue Des Landes,St Peter,JE3 7BG,Pad 35,49.205227,-2.182193,
Jersey Rifle Association Clubhouse,Le Chemin Du Catel,St Mary,JE3 6AD,Pad 36,49.24351,-2.188987,
St Helier Marina ,New North Quay,St Helier,JE2 3ND,Pad 37,49.181438,-2.110324,
Trinity Parish Hall,La Rue Du Presbytere,Trinity,JE3 5JB,Pad 38,49.235179,-2.09128,
Jersey Dairy,La Route de la Trinite,Trinity,JE3 5JP,Pad 39,49.232294,-2.095484,
St Martin Public Hall,La Rue De La Croix au Maistre,St Martin,JE3 6HW,Pad 4,49.219195,-2.053449,
Andium Homes,Don Street,St Helier,JE2 4TR,Pad 40,49.185551,-2.10559,
Jersey Scout Association,La Grande Route des Mielles,St Ouen,JE3 2FN,Pad 41,49.228215,-2.231105,
D'Auvergne School,La Pouquelaye,St Helier,JE2 3GF,Pad 42,49.197715,-2.10926,
St Helier Marina- Ramp,New North Quay,St Helier,JE2 3ND,Pad 43,49.181447,-2.110365,
Les Mielles Golf and Country Club,St Ouens Bay,St Ouen,JE3 7FQ,Pad 44,49.209707,-2.21917,
St Catherines,La Route De St Catherine,St Martin,JE3 6DD,Pad 46,49.224548,-2.020067,
Jersey Electricity Co / Power House,Queens Road,St Helier,JE2 3GR,Pad 5,49.200276,-2.114184,
La Collette Power Station,Mount Bingham,St Helier,JE2 4XY,Pad 6,49.174691,-2.108997,
Western Fire Station,La Route Des Quennevais,St Brelade,JE3 8LJ,Pad 7,49.196524,-2.198444,
Grande Marche,La Rue Le Masurier,St Helier,JE2 4LZ,Pad 8,49.188649,-2.098934,
Grande Marche St Peter,Rue De L'Eglise,St Peter,JE3 7AG,Pad 9,49.212405,-2.182296,
Victoria College,Pleasant  Street,St Helier,JE2 4RR,Pad 50,49.18535,-2.09650,
